object_name,mass,width,depth,height
beer_bottle,0.34534876933321357,0.07472123950719833,0.07472124695777893,0.27716654539108276
black_towel,15.828224658966064,0.364708811044693,0.266131728887558,0.08315789699554443
blue_vase,1.7368546724319458,0.17176662385463715,0.1718253344297409,0.21785008907318115
bread_1,0.8408675193786621,0.24799400568008423,0.11701453477144241,0.1628442406654358
bread_2,0.5353232622146606,0.16295914351940155,0.11360684782266617,0.16073857247829437
bread_knife,0.32716317288577557,0.37336230278015137,0.04193638265132904,0.012280729599297047
bread_roll_1,0.13307981193065643,0.13816902041435242,0.13647150993347168,0.05957924202084541
bread_roll_2,0.2732691466808319,0.23159775137901306,0.1270725131034851,0.0742306187748909
bread_roll_3,0.09935532510280609,0.12090058624744415,0.1250244826078415,0.04819130524992943
brown_banana,0.18620992172509432,0.20543810725212097,0.10939562320709229,0.04675468057394028
brush,0.168402049690485,0.4447931945323944,0.11118486523628235,0.08113069832324982
butter,0.2880476415157318,0.12319421023130417,0.06720516830682755,0.04226909205317497
butter_knife,0.10201587527990341,0.297355055809021,0.023790031671524048,0.010516750626266003
cactus,3.5477991569787264,0.2427590787410736,0.2638785243034363,0.3651946187019348
cheese,0.3691449463367462,0.09104868769645691,0.11787188053131104,0.05608176440000534
cheese_2,0.6631571054458618,0.14038494229316711,0.11592219769954681,0.06496363878250122
cheese_3,1.6199936866760254,0.23624153435230255,0.12065938860177994,0.0666733980178833
cherry,0.020606196703738533,0.03874582797288895,0.03401896357536316,0.06755021214485168
coke_can,0.005965172473224811,0.06076228246092796,0.060761623084545135,0.10352446138858795
cold_cutting_1,0.5609238613396883,0.2047179937362671,0.06346940249204636,0.06346940249204636
cold_cutting_2,0.8349259495735168,0.20481270551681519,0.10844080150127411,0.051837384700775146
cold_cutting_3,0.6953639984130859,0.21032162010669708,0.07246199995279312,0.07363033294677734
cucumber,0.4229426425881684,0.3359452784061432,0.05162584036588669,0.059438809752464294
cutting_board,0.6424999830778688,0.3299078643321991,0.20878799259662628,0.02082800306379795
dark_brown_avocado,0.9288665540516376,0.10943752527236938,0.07905276119709015,0.08157812803983688
flowerpot,3.7099127769470215,0.25407662987709045,0.25407975912094116,0.25638559460639954
fork,0.019516708329319954,0.17570920288562775,0.02325141429901123,0.02142251469194889
garlic,0.11412277247291058,0.07405948638916016,0.06987206637859344,0.06926707923412323
gerbera,0.09066886220534798,0.2726624608039856,0.06413744390010834,0.0627354085445404
grain_buckwheat,0.41340309008955956,0.15092654526233673,0.1513480842113495,0.07447586953639984
green_avocado,0.9288663677871227,0.10943752527236938,0.07905276119709015,0.08156213909387589
green_banana,0.18621004675514996,0.20524998009204865,0.1092643216252327,0.047264158725738525
green_grape,0.006465106523137365,0.02155534364283085,0.021472789347171783,0.03553739935159683
green_orange,0.18884973258627724,0.05865217000246048,0.05865217000246048,0.06318305432796478
green_pineapple,1.502315068792086,0.20389218628406525,0.19055712223052979,0.3216482400894165
green_tomato,0.43975550853065215,0.09890708327293396,0.0985957682132721,0.09689629822969437
honey_peach,1.8052443098276854,0.10925714671611786,0.10641162097454071,0.11132172495126724
horticultural_scissors,0.600948728621006,0.23770201206207275,0.1451829969882965,0.027309715747833252
kitchen_knife_1,0.3789321668446064,0.3003997504711151,0.07970280200242996,0.012525685131549835
kitchen_knife_2,0.3789321696385741,0.3003997504711151,0.07970280200242996,0.012525685131549835
kitchen_pliers,1.1730797607451677,0.4024428725242615,0.10326150804758072,0.046229682862758636
kiwi_1,0.08892497942724731,0.06262832134962082,0.052179720252752304,0.050306640565395355
kiwi_2,0.08892497942724731,0.06262832134962082,0.052179720252752304,0.050306640565395355
ladle,0.027458030730485916,0.17676663398742676,0.036899566650390625,0.017972201108932495
large_bowl,0.7227948904037476,0.24714061617851257,0.2471267133951187,0.10133472084999084
large_plate,0.5154173970222473,0.2679574489593506,0.2679551839828491,0.026710253208875656
lemon,0.146208010837654,0.09163682907819748,0.05969637632369995,0.05915488675236702
lime,0.14620801085220592,0.09163682907819748,0.05969637632369995,0.05915488675236702
long_saussage,0.5017728805541992,0.4389028549194336,0.0476495698094368,0.10327476263046265
medium_bowl,0.4966089427471161,0.21217405796051025,0.2121618688106537,0.08710212260484695
medium_plate,0.31627848744392395,0.21816368401050568,0.21816368401050568,0.02391206845641136
mixer,15.266791820526123,0.12397795915603638,0.12397369742393494,0.2834169864654541
oven_mitt,4.470750689506531,0.29813626408576965,0.0720033273100853,0.4541443884372711
paicha,0.015963025391101837,0.17971813678741455,0.02185675874352455,0.018774831667542458
pan,3.2608600184321404,0.4538607895374298,0.28825435042381287,0.055358726531267166
peeler,0.2545076562091708,0.21505442261695862,0.036905016750097275,0.012525673024356365
pepper_black,1.9499942936818115e-05,0.004220138303935528,0.0041903662495315075,0.004167931620031595
pepper_brown,1.883025652205106e-05,0.004087707027792931,0.004145387560129166,0.004151307977735996
pepper_white,2.5312963771284558e-05,0.0044676270335912704,0.004468073137104511,0.004395741969347
pickled_cucumber,0.028661448450293392,0.07642944157123566,0.017882317304611206,0.015897590667009354
pie_fork,0.015963025391101837,0.17971813678741455,0.02185675874352455,0.018774831667542458
red_apple,0.0017722396521833161,0.07040420174598694,0.07040420174598694,0.07595370709896088
rose,-0.1489138709148392,0.26729708909988403,0.10484997183084488,0.12166869640350342
round_red_onion,0.2010033786027634,0.09363333880901337,0.09363333880901337,0.09745311737060547
round_white_onion,0.20215542050573276,0.09363646060228348,0.09363646060228348,0.09773904085159302
scissors_1,0.11326103657484055,0.18148738145828247,0.07394242286682129,0.007689334452152252
scissors_2,0.24679148569703102,0.26352864503860474,0.08100147545337677,0.014202560298144817
short_sausage,0.1019214615225792,0.17632828652858734,0.03339885547757149,0.03219541907310486
small_bowl,0.3429035246372223,0.18214523792266846,0.1821347028017044,0.0748731791973114
small_plate,0.1863880604505539,0.16725079715251923,0.16725079715251923,0.022337954491376877
table_knife,0.14500227570533752,0.2867489755153656,0.029918566346168518,0.0122342798858881
target,0.5470947027206421,0.4642515182495117,0.0455947071313858,0.464252233505249
teaspoon,0.03092772699892521,0.1856062263250351,0.0392000675201416,0.019486187025904655
tomato,0.16325860972574446,0.0740850642323494,0.07264278084039688,0.07555056363344193
tulip,-0.092789676040411,0.4169052243232727,0.19112271070480347,0.09669657051563263
watermelon,10.4524720904883,0.26948899030685425,0.2735486328601837,0.3200451135635376
white_towel,15.828224658966064,0.364708811044693,0.266131728887558,0.08315789699554443
yellow_apple,0.001772329932265393,0.07040420174598694,0.07040419429540634,0.07595360279083252
yellow_banana,0.18620987166650593,0.20525778830051422,0.10950975120067596,0.046125590801239014
yellow_orange,0.18884973258627724,0.05865217000246048,0.05865217000246048,0.06318305432796478
yellow_peach,1.7036250531673431,0.10064974427223206,0.1043362021446228,0.10871341824531555
yellow_pineapple,1.502315150341019,0.20389774441719055,0.19055713713169098,0.3216519355773926
yellow_tomato,0.11774228388821939,0.06411106139421463,0.06381354480981827,0.061991848051548004
yellow_vase,1.7265357971191406,0.1617611199617386,0.16111446917057037,0.2181999683380127
